setup_id,rank,sharpe_lb,sharpe_median,calmar,sortino,max_drawdown,support,annualized_return,volatility,first_trigger_date,last_trigger_date,sharpe_1d,sharpe_3d,sharpe_5d,sharpe_10d,sharpe_21d,description,signal_ids
SETUP_0002,1,27.9879,31.3717,10888575.7533,20.0000,-0.0134,44.0000,146421.0942,0.4400,2020-03-20,2024-05-17,4.4010,9.0340,13.6661,29.1571,32.1445,TSLA US Equity_realized_vol_21d z_breakout_pos AND XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00221, SIG_00889"
SETUP_0008,1,26.9945,30.8354,312624.6439,0.0000,-0.0006,86.0000,198.4624,0.1741,2020-05-05,2024-07-02,4.7051,9.1495,15.9037,24.5882,27.7625,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND WMT US Equity_vs_SPY US Equity_corr_px_20d is_low,"SIG_00889, SIG_01044"
SETUP_0010,1,21.7390,26.1635,7876.2161,20.0000,-0.0194,89.0000,152.7714,0.2106,2018-03-27,2025-07-07,3.1057,9.8521,12.1858,22.4996,21.5797,DXY Curncy_px_zscore_30d is_low AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00750, SIG_00994"
SETUP_0013,1,20.7004,23.8574,33341807.2862,0.0000,-0.0004,53.0000,14945.8639,0.4470,2020-03-17,2024-07-02,3.7874,10.8348,16.8891,21.7721,17.6191,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND XLP US Equity_px_zscore_30d is_low,"SIG_00889, SIG_00118"
SETUP_0011,1,20.6669,23.5565,17264197.7214,0.0000,-0.0010,59.0000,16791.4634,0.4588,2020-03-17,2023-11-13,3.3541,7.3319,13.2241,21.5737,27.7844,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND HG1 Comdty_px_zscore_90d is_low,"SIG_00889, SIG_00842"
SETUP_0012,1,17.6371,25.0348,1060.0192,20.0000,-0.0600,98.0000,63.6027,0.2354,2019-04-15,2025-07-07,2.4655,5.3722,9.1907,11.8269,19.6712,XLC US Equity_px_zscore_90d is_high AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00075, SIG_00994"
SETUP_0009,1,16.1782,20.6985,25549.7365,20.0000,-0.0515,108.0000,1315.0220,0.4185,2020-03-17,2023-04-14,3.1336,6.7286,10.0593,15.6915,21.6488,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND USGG10YR Index_vs_SPY US Equity_corr_px_20d is_high,"SIG_00889, SIG_01107"
SETUP_0007,1,14.3305,18.0688,12435.4134,20.0000,-0.0519,144.0000,645.9350,0.3937,2020-03-17,2023-05-15,2.8061,5.9633,9.3817,14.6882,21.3570,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND JPM US Equity_realized_vol_21d is_high,"SIG_00889, SIG_00362"
SETUP_0005,1,6.6746,12.3964,157.2191,12.3661,-0.1573,151.0000,24.7336,0.2883,2018-03-27,2025-07-24,2.4822,5.0297,7.3236,7.2621,12.1063,AMD US Equity_vs_SPY US Equity_beta_px_60d z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_01019, SIG_00994"
SETUP_0006,1,5.8762,9.1866,249.5549,20.0000,-0.2526,234.0000,63.0278,0.4914,2018-03-21,2025-05-28,2.7807,4.3456,4.6039,6.5539,10.1466,DXY Curncy_vs_SPY US Equity_corr_px_20d z_breakout_pos AND EUR Curncy_vs_SPY US Equity_corr_px_20d z_breakout_neg,"SIG_01125, SIG_01142"
