setup_id,fold,rank,sharpe_lb,sharpe_median,omega_ratio,support,best_performing_ticker,entry_direction,annualized_return,volatility,max_drawdown,first_trigger_date,last_trigger_date,description,signal_ids
SETUP_0000,1,1,81.8476,101.3940,999.0000,13.0000,PLTR US Equity,long,0.0000,0.1842,0.0000,2020-10-29,2020-11-24,PLTR US Equity_options_total_volume_spike_z_30d is_high AND NKE US Equity_vs_SPY US Equity_corr_px_fisher20_z_60d is_high,"SIG_01435, SIG_02862"
SETUP_0001,1,1,81.8476,101.3940,999.0000,13.0000,PLTR US Equity,long,0.0000,0.1842,0.0000,2020-10-29,2020-11-24,NKE US Equity_vs_SPY US Equity_corr_px_fisher20_z_60d is_high AND PLTR US Equity_options_total_volume_spike_z_30d is_high,"SIG_02862, SIG_01435"
SETUP_0002,1,1,81.8476,100.1321,999.0000,13.0000,PLTR US Equity,long,0.0000,0.1842,0.0000,2020-10-29,2020-11-24,PLTR US Equity_options_total_volume_spike_z_30d is_high AND NKE US Equity_vs_SPY US Equity_corr_px_fisher20_z_60d is_high,"SIG_01435, SIG_02862"
SETUP_0003,1,1,42.1839,52.4639,999.0000,15.0000,AMD US Equity,long,0.0000,0.1015,0.0000,2018-06-25,2018-07-25,XLK US Equity_vol90d_regime_z_120d z_breakout_neg AND CL1 Comdty_realized_vol_21d z_breakout_pos,"SIG_00151, SIG_02544"
SETUP_0005,1,1,37.6275,50.4998,999.0000,16.0000,PLTR US Equity,long,0.0000,0.2297,0.0000,2020-07-23,2020-11-12,XAU Curncy_px_trend_5_20_z_60d z_breakout_pos AND AMZN US Equity_realized_vol_21d is_high,"SIG_02604, SIG_00768"
SETUP_0006,1,1,37.1748,45.5967,999.0000,17.0000,PLTR US Equity,long,0.0000,0.2582,0.0000,2019-12-16,2020-12-11,EEM US Equity_iv_term_call3m_minus_rv21_z_60d is_low AND XAU Curncy_px_trend_5_20_z_60d z_breakout_pos,"SIG_02503, SIG_02604"
SETUP_0010,1,1,36.4921,43.2066,999.0000,31.0000,AMD US Equity,long,0.0000,0.1243,0.0000,2018-07-02,2020-07-22,NKE US Equity_realized_vol_21d is_high AND XLK US Equity_vol90d_regime_z_120d z_breakout_neg,"SIG_01757, SIG_00151"
SETUP_0004,1,1,27.2949,31.8831,1231.2454,15.0000,BTC Index,long,0.0000,0.1257,-0.0002,2020-11-26,2020-12-25,DXY Curncy_px_zscore_90d is_very_low_z AND PLTR US Equity_turnover_minus_volume_z_60d is_high,"SIG_02405, SIG_01415"
SETUP_0011,1,1,26.6641,36.3444,999.0000,33.0000,PLTR US Equity,long,0.0000,0.2353,0.0000,2019-12-23,2020-12-24,NKE US Equity_iv_term_call3m_minus_rv21_z_60d is_low AND XAU Curncy_px_trend_5_20_z_60d z_breakout_pos,"SIG_01798, SIG_02604"
SETUP_0012,1,1,22.0404,26.8618,2541.4994,35.0000,PLTR US Equity,long,0.0000,0.2061,-0.0003,2018-04-05,2020-12-04,AMD US Equity_tw_pub_z_30d is_high AND NKE US Equity_iv_term_call3m_minus_rv21_z_60d is_low,"SIG_01568, SIG_01798"
SETUP_0013,1,1,20.4027,26.3516,3141.7022,45.0000,PLTR US Equity,long,0.0000,0.2766,-0.0004,2019-01-16,2020-12-23,EUR Curncy_px_trend_5_20_z_60d is_high AND NKE US Equity_iv_term_call3m_minus_rv21_z_60d is_low,"SIG_02450, SIG_01798"
SETUP_0015,1,1,20.0900,24.0368,56.5731,57.0000,AMD US Equity,long,0.0000,0.1681,-0.0083,2018-05-08,2020-08-26,AAPL US Equity_px_trend_5_20_z_60d is_high AND EEM US Equity_iv_term_call3m_minus_rv21_z_60d is_low,"SIG_01056, SIG_02503"
SETUP_0014,1,1,19.4770,24.0557,213.8037,53.0000,PLTR US Equity,long,0.0000,0.3222,-0.0023,2018-04-18,2020-11-30,EEM US Equity_iv_term_call3m_minus_rv21_z_60d is_low AND AMZN US Equity_realized_vol_21d is_high,"SIG_02503, SIG_00768"
SETUP_0016,1,1,19.4338,23.1249,999.0000,71.0000,PLTR US Equity,long,0.0000,0.2218,0.0000,2018-04-27,2020-11-24,NKE US Equity_iv_term_call3m_minus_rv21_z_60d is_low AND C US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d is_high,"SIG_01798, SIG_01339"
SETUP_0007,1,1,18.0086,24.0190,9942.5871,17.0000,MSTR US Equity,long,0.0000,0.3708,-0.0001,2020-11-12,2020-12-25,PLTR US Equity_turnover_minus_volume_z_60d is_high AND NKE US Equity_iv_term_call3m_minus_rv21_z_60d is_low,"SIG_01415, SIG_01798"
SETUP_0017,1,1,15.1829,21.0510,18.8855,87.0000,AMD US Equity,long,0.0000,0.2050,-0.0582,2018-05-22,2020-08-28,XLK US Equity_vol90d_regime_z_120d z_breakout_neg AND EEM US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d is_high,"SIG_00151, SIG_02506"
SETUP_0008,1,1,14.1423,20.7508,4503.0951,29.0000,PLTR US Equity,long,0.0000,0.3679,-0.0002,2019-01-21,2020-11-24,NKE US Equity_vs_SPY US Equity_corr_px_fisher20_z_60d is_high AND NKE US Equity_iv_term_call3m_minus_rv21_z_60d is_low,"SIG_02862, SIG_01798"
SETUP_0018,1,1,13.8696,18.6716,18.1806,102.0000,PLTR US Equity,long,0.0000,0.2185,-0.0553,2018-04-18,2020-11-23,EEM US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d is_high AND EEM US Equity_iv_term_call3m_minus_rv21_z_60d is_low,"SIG_02506, SIG_02503"
SETUP_0009,1,1,11.9341,18.2985,4700.4582,29.0000,PLTR US Equity,long,0.0000,0.4127,-0.0002,2019-01-21,2020-11-24,EEM US Equity_iv_term_call3m_minus_rv21_z_60d is_low AND NKE US Equity_vs_SPY US Equity_corr_px_fisher20_z_60d is_high,"SIG_02503, SIG_02862"
SETUP_0019,1,1,1.9139,6.4568,2.8894,108.0000,TSLA US Equity,long,0.0000,0.6279,-0.5554,2018-10-26,2020-08-06,AMZN US Equity_realized_vol_21d is_high AND AMD US Equity_realized_vol_21d is_high,"SIG_00768, SIG_01556"
SETUP_0020,1,1,0.7650,5.0551,2.2989,115.0000,TSLA US Equity,long,0.0000,0.6774,-0.4630,2018-10-25,2020-08-21,AMD US Equity_realized_vol_21d is_high AND MSFT US Equity_realized_vol_21d is_high,"SIG_01556, SIG_00944"
SETUP_0021,2,1,49.3707,72.7648,999.0000,13.0000,AMD US Equity,long,0.0000,0.1636,0.0000,2020-07-21,2020-08-06,AMZN US Equity_realized_vol_21d is_high AND XLK US Equity_vol90d_regime_z_120d z_breakout_neg,"SIG_00768, SIG_00151"
SETUP_0022,2,1,49.3707,69.9016,999.0000,13.0000,AMD US Equity,long,0.0000,0.1636,0.0000,2020-07-21,2020-08-06,XLK US Equity_vol90d_regime_z_120d z_breakout_neg AND AMZN US Equity_realized_vol_21d is_high,"SIG_00151, SIG_00768"
SETUP_0023,2,1,49.3707,72.5387,999.0000,13.0000,AMD US Equity,long,0.0000,0.1636,0.0000,2020-07-21,2020-08-06,XLK US Equity_vol90d_regime_z_120d z_breakout_neg AND AMZN US Equity_realized_vol_21d is_high,"SIG_00151, SIG_00768"
SETUP_0024,2,1,49.3707,72.6518,999.0000,13.0000,AMD US Equity,long,0.0000,0.1636,0.0000,2020-07-21,2020-08-06,XLK US Equity_vol90d_regime_z_120d z_breakout_neg AND AMZN US Equity_realized_vol_21d is_high,"SIG_00151, SIG_00768"
SETUP_0025,2,1,49.3707,69.9016,999.0000,13.0000,AMD US Equity,long,0.0000,0.1636,0.0000,2020-07-21,2020-08-06,AMZN US Equity_realized_vol_21d is_high AND XLK US Equity_vol90d_regime_z_120d z_breakout_neg,"SIG_00768, SIG_00151"
SETUP_0026,2,1,49.3707,72.5387,999.0000,13.0000,AMD US Equity,long,0.0000,0.1636,0.0000,2020-07-21,2020-08-06,AMZN US Equity_realized_vol_21d is_high AND XLK US Equity_vol90d_regime_z_120d z_breakout_neg,"SIG_00768, SIG_00151"
SETUP_0027,2,1,49.3707,76.0603,999.0000,13.0000,AMD US Equity,long,0.0000,0.1636,0.0000,2020-07-21,2020-08-06,XLK US Equity_vol90d_regime_z_120d z_breakout_neg AND AMZN US Equity_realized_vol_21d is_high,"SIG_00151, SIG_00768"
SETUP_0028,2,1,49.3707,69.9016,999.0000,13.0000,AMD US Equity,long,0.0000,0.1636,0.0000,2020-07-21,2020-08-06,XLK US Equity_vol90d_regime_z_120d z_breakout_neg AND AMZN US Equity_realized_vol_21d is_high,"SIG_00151, SIG_00768"
SETUP_0029,2,1,38.5344,45.6355,999.0000,16.0000,BTC Index,long,0.0000,0.2038,0.0000,2020-11-25,2020-12-25,C US Equity_px_zscore_90d is_high AND PLTR US Equity_turnover_minus_volume_z_60d is_high,"SIG_01291, SIG_01415"
SETUP_0030,2,1,28.3948,34.9971,999.0000,21.0000,MSTR US Equity,long,0.0000,0.2841,0.0000,2020-11-12,2020-12-15,PLTR US Equity_turnover_minus_volume_z_60d is_high AND MXWO Index_px_zscore_90d is_very_high_z,"SIG_01415, SIG_02304"
SETUP_0031,2,1,27.1265,35.3440,999.0000,24.0000,PLTR US Equity,long,0.0000,0.2854,0.0000,2020-05-04,2020-11-25,XLV US Equity_iv_vs_newsheat_divergence_call3m_z_60d is_low AND AMZN US Equity_realized_vol_21d is_high,"SIG_00351, SIG_00768"
SETUP_0033,2,1,26.3623,32.2903,999.0000,30.0000,MSTR US Equity,long,0.0000,0.1916,0.0000,2020-11-26,2021-06-01,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND C US Equity_px_zscore_90d is_high,"SIG_00528, SIG_01291"
SETUP_0034,2,1,25.1228,33.5804,49.8909,33.0000,MSTR US Equity,long,0.0000,0.3229,-0.0233,2020-11-12,2021-02-10,PLTR US Equity_turnover_minus_volume_z_60d is_high AND EEM US Equity_turnover_minus_volume_z_60d is_high,"SIG_01415, SIG_02494"
SETUP_0032,2,1,24.7110,31.1396,1131.5597,28.0000,TSLA US Equity,long,0.0000,0.2404,-0.0007,2019-01-28,2021-01-29,XLE US Equity_options_total_volume_spike_z_30d is_low AND EEM US Equity_turnover_minus_volume_z_60d is_high,"SIG_00053, SIG_02494"
SETUP_0036,2,1,24.5924,32.5047,276.8769,59.0000,PLTR US Equity,long,0.0000,0.1531,-0.0020,2018-08-02,2021-01-26,BMY US Equity_px_zscore_90d is_high AND XLK US Equity_vol90d_regime_z_120d z_breakout_neg,"SIG_01640, SIG_00151"
SETUP_0035,2,1,23.6561,29.8991,1375.1783,56.0000,MSTR US Equity,long,0.0000,0.2151,0.0000,2019-05-02,2021-06-02,EEM US Equity_turnover_minus_volume_z_60d is_high AND C US Equity_px_zscore_90d is_high,"SIG_02494, SIG_01291"
SETUP_0037,2,1,14.7331,19.7643,15.2865,60.0000,MSTR US Equity,long,0.0000,0.2904,-0.0477,2018-12-04,2021-06-02,EEM US Equity_turnover_minus_volume_z_60d is_high AND C US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d is_high,"SIG_02494, SIG_01339"
SETUP_0038,2,1,13.5670,18.4466,25.4280,76.0000,PLTR US Equity,long,0.0000,0.3345,-0.0548,2019-01-21,2020-12-11,EEM US Equity_iv_term_call3m_minus_rv21_z_60d is_low AND EEM US Equity_turnover_minus_volume_z_60d is_high,"SIG_02503, SIG_02494"
SETUP_0039,2,1,7.0938,13.0366,7.8191,79.0000,PLTR US Equity,long,0.0000,0.2809,-0.1251,2019-01-18,2021-04-19,EEM US Equity_iv_term_call3m_minus_rv21_z_60d is_low AND C US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d is_high,"SIG_02503, SIG_01339"
SETUP_0040,2,1,6.1998,10.1747,5.0485,127.0000,PLTR US Equity,long,288.3426,0.5773,-0.4608,2018-10-26,2020-11-26,NDX Index_realized_vol_21d is_high AND AMZN US Equity_realized_vol_21d is_high,"SIG_02187, SIG_00768"
SETUP_0041,3,1,54.9508,62.8827,999.0000,10.0000,TSLA US Equity,long,0.0000,0.1052,0.0000,2020-01-01,2020-01-16,C US Equity_px_zscore_90d is_high AND AAPL US Equity_iv_term_call3m_minus_rv21_z_60d is_high,"SIG_01291, SIG_01072"
SETUP_0042,3,1,54.9508,62.8827,999.0000,10.0000,TSLA US Equity,long,0.0000,0.1052,0.0000,2020-01-01,2020-01-16,C US Equity_px_zscore_90d is_high AND AAPL US Equity_iv_term_call3m_minus_rv21_z_60d is_high,"SIG_01291, SIG_01072"
SETUP_0043,3,1,54.9508,62.4871,999.0000,10.0000,TSLA US Equity,long,0.0000,0.1052,0.0000,2020-01-01,2020-01-16,AAPL US Equity_iv_term_call3m_minus_rv21_z_60d is_high AND C US Equity_px_zscore_90d is_high,"SIG_01072, SIG_01291"
SETUP_0044,3,1,54.9508,62.4871,999.0000,10.0000,TSLA US Equity,long,0.0000,0.1052,0.0000,2020-01-01,2020-01-16,C US Equity_px_zscore_90d is_high AND AAPL US Equity_iv_term_call3m_minus_rv21_z_60d is_high,"SIG_01291, SIG_01072"
SETUP_0045,3,1,38.2538,45.6595,999.0000,16.0000,BTC Index,long,0.0000,0.2038,0.0000,2020-11-25,2020-12-25,C US Equity_px_zscore_90d is_high AND PLTR US Equity_turnover_minus_volume_z_60d is_high,"SIG_01291, SIG_01415"
SETUP_0046,3,1,38.2538,46.0237,999.0000,16.0000,BTC Index,long,0.0000,0.2038,0.0000,2020-11-25,2020-12-25,C US Equity_px_zscore_90d is_high AND PLTR US Equity_turnover_minus_volume_z_60d is_high,"SIG_01291, SIG_01415"
SETUP_0047,3,1,31.0298,39.7081,999.0000,20.0000,MSTR US Equity,long,0.0000,0.2347,0.0000,2020-11-17,2021-01-25,PLTR US Equity_turnover_minus_volume_z_60d is_high AND C US Equity_turnover_minus_volume_z_60d is_high,"SIG_01415, SIG_01327"
SETUP_0048,3,1,30.4413,36.8623,135.3140,30.0000,TSLA US Equity,long,0.0000,0.1823,0.0000,2019-03-21,2021-11-02,XLP US Equity_news_heat_z_30d is_low AND AAPL US Equity_px_trend_5_20_z_60d is_high,"SIG_00391, SIG_01056"
SETUP_0049,3,1,30.2680,37.3858,999.0000,35.0000,BTC Index,long,0.0000,0.1827,0.0000,2020-01-03,2021-06-03,C US Equity_px_zscore_90d is_high AND USGG2YR Index_px_trend_5_20_z_60d is_low,"SIG_01291, SIG_02391"
SETUP_0050,3,1,25.4510,31.6060,999.0000,36.0000,TSLA US Equity,long,0.0000,0.1251,0.0000,2019-10-28,2020-01-21,C US Equity_px_zscore_90d is_high AND WMT US Equity_oi_callput_skew_z_60d is_high,"SIG_01291, SIG_01905"
SETUP_0051,3,1,23.1614,31.3602,1118.3727,64.0000,PLTR US Equity,long,0.0000,0.1768,-0.0008,2019-02-06,2021-01-15,XLK US Equity_vol90d_regime_z_120d z_breakout_neg AND HG1 Comdty_px_zscore_90d is_high,"SIG_00151, SIG_02566"
SETUP_0052,3,1,16.2364,23.4171,34.5667,77.0000,BTC Index,long,0.0000,0.2345,-0.0480,2019-11-08,2021-05-31,HG1 Comdty_px_zscore_90d is_high AND C US Equity_px_zscore_90d is_high,"SIG_02566, SIG_01291"
SETUP_0053,3,1,7.9095,13.1319,7.8191,79.0000,PLTR US Equity,long,0.0000,0.2809,-0.1251,2019-01-18,2021-04-19,C US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d is_high AND EEM US Equity_iv_term_call3m_minus_rv21_z_60d is_low,"SIG_01339, SIG_02503"
SETUP_0054,3,1,3.4216,7.7833,3.5577,86.0000,MSTR US Equity,long,0.0000,0.2738,-0.1168,2019-01-07,2021-12-27,AMZN US Equity_options_vs_equity_flow_z_60d is_high AND GOOGL US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d is_high,"SIG_00824, SIG_00900"
SETUP_0055,3,1,-5.9212,-0.6899,0.8882,88.0000,BTC Index,long,0.0000,0.2723,-0.4131,2019-02-18,2021-09-17,GOOGL US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d is_high AND TSLA US Equity_vol90d_regime_z_120d is_low,"SIG_00900, SIG_00761"
SETUP_0057,3,1,-18.6787,-14.6730,0.0652,108.0000,BTC Index,short,0.0000,0.2515,-0.7989,2019-02-15,2021-07-27,TSLA US Equity_vol90d_regime_z_120d is_low AND XLK US Equity_vol90d_regime_z_120d z_breakout_neg,"SIG_00761, SIG_00151"
SETUP_0056,3,1,-20.6724,-14.1655,0.1048,98.0000,BTC Index,short,0.0000,0.2481,-0.7461,2019-02-05,2021-07-27,XLK US Equity_vol90d_regime_z_120d z_breakout_neg AND XAU Curncy_realized_vol_21d is_low,"SIG_00151, SIG_02599"
SETUP_0058,4,1,54.9508,62.8827,999.0000,10.0000,TSLA US Equity,long,0.0000,0.1052,0.0000,2020-01-01,2020-01-16,AAPL US Equity_iv_term_call3m_minus_rv21_z_60d is_high AND C US Equity_px_zscore_90d is_high,"SIG_01072, SIG_01291"
SETUP_0059,4,1,54.9508,62.4871,999.0000,10.0000,TSLA US Equity,long,0.0000,0.1052,0.0000,2020-01-01,2020-01-16,AAPL US Equity_iv_term_call3m_minus_rv21_z_60d is_high AND C US Equity_px_zscore_90d is_high,"SIG_01072, SIG_01291"
SETUP_0060,4,1,54.6137,65.1979,999.0000,12.0000,PLTR US Equity,long,0.0000,0.1142,0.0000,2019-11-26,2021-01-19,RTY Index_turnover_minus_volume_z_60d is_high AND XLK US Equity_vol90d_regime_z_120d z_breakout_neg AND C US Equity_px_zscore_90d is_high,"SIG_02262, SIG_00151, SIG_01291"
SETUP_0061,4,1,45.7804,69.9016,999.0000,13.0000,AMD US Equity,long,0.0000,0.1636,0.0000,2020-07-21,2020-08-06,JPM US Equity_vs_SPY US Equity_beta_px_60d_z_120d is_high AND AMZN US Equity_realized_vol_21d is_high,"SIG_02786, SIG_00768"
SETUP_0062,4,1,41.7757,53.0449,999.0000,16.0000,PLTR US Equity,long,0.0000,0.1165,0.0000,2019-12-09,2021-01-19,XLK US Equity_vol90d_regime_z_120d z_breakout_neg AND C US Equity_px_zscore_90d is_high AND BMY US Equity_px_zscore_90d is_very_high_z,"SIG_00151, SIG_01291, SIG_01642"
SETUP_0064,4,1,39.8250,49.1132,999.0000,27.0000,PLTR US Equity,long,0.0000,0.1133,0.0000,2019-12-13,2021-01-14,C US Equity_px_zscore_90d is_high AND NKE US Equity_vol90d_regime_z_120d is_low,"SIG_01291, SIG_01838"
SETUP_0065,4,1,35.0640,41.9579,999.0000,43.0000,TSLA US Equity,long,0.0000,0.1457,0.0000,2019-12-06,2021-07-27,DXY Curncy_vs_SPY US Equity_corr_px_fisher20_z_60d is_high AND XLK US Equity_vol90d_regime_z_120d z_breakout_neg,"SIG_02994, SIG_00151"
SETUP_0066,4,1,30.5717,38.7048,999.0000,51.0000,TSLA US Equity,long,0.0000,0.1896,0.0000,2019-11-27,2021-02-01,JPM US Equity_vs_SPY US Equity_beta_px_60d_z_120d is_high AND LLY US Equity_oi_callput_skew_z_60d is_high,"SIG_02786, SIG_01179"
SETUP_0063,4,1,22.1697,26.7529,1425.1425,20.0000,TSLA US Equity,long,0.0000,0.3637,-0.0005,2020-03-24,2022-03-22,WMT US Equity_px_trend_5_20_z_60d z_breakout_pos AND NDX Index_realized_vol_21d is_high,"SIG_01871, SIG_02187"
