setup_id,fold,rank,sharpe_lb,sharpe_median,omega_ratio,support,annualized_return,volatility,max_drawdown,best_performing_ticker,entry_direction,first_trigger_date,last_trigger_date,chosen_tickers,chosen_horizons,num_selected_tickers,description,signal_ids
SETUP_0000,1,1,9.012858,15.011542,26.647670,12.000000,0.000000,0.577667,-0.020736,AMD US Equity,long,2018-04-23,2020-06-24,"AMD US Equity, TSLA US Equity, LLY US Equity, XLC US Equity, MSTR US Equity","{'AMD US Equity': 21, 'TSLA US Equity': 10, 'LLY US Equity': 1, 'XLC US Equity': 1, 'MSTR US Equity': 1}",5,AMD US Equity_oi_callput_skew_z_60d z_breakout_pos AND NKE US Equity_open_interest_call_pctchg_3d_z_60d is_low,"SIG_01618, SIG_01822"
SETUP_0001,1,1,0.747375,4.775233,1.942442,56.000000,0.000000,0.298550,-0.089945,AMD US Equity,long,2018-05-07,2020-10-12,"AMD US Equity, BMY US Equity, NKE US Equity, TSLA US Equity, LLY US Equity","{'AMD US Equity': 5, 'BMY US Equity': 1, 'NKE US Equity': 3, 'TSLA US Equity': 1, 'LLY US Equity': 1}",5,XLK US Equity_vs_SPY US Equity_beta_px_60d_z_120d is_high AND DXY Curncy_vs_SPY US Equity_corr_delta_fisher_20_60_z_60d z_breakout_neg,"SIG_02634, SIG_03001"
SETUP_0002,2,1,5.025957,8.798729,6.056625,20.000000,0.000000,0.519197,-0.028291,TSLA US Equity,long,2018-11-29,2020-10-08,"AMZN US Equity, AMD US Equity, TSLA US Equity, XLV US Equity, GOOGL US Equity","{'AMZN US Equity': 3, 'AMD US Equity': 3, 'TSLA US Equity': 5, 'XLV US Equity': 3, 'GOOGL US Equity': 10}",5,DXY Curncy_vs_SPY US Equity_corr_delta_fisher_20_60_z_60d z_breakout_neg AND AMZN US Equity_realized_vol_21d is_high,"SIG_03001, SIG_00768"
SETUP_0003,2,1,-0.365977,3.506079,1.374526,45.000000,0.000000,0.578268,-0.206572,PLTR US Equity,long,2018-08-28,2021-04-06,"PLTR US Equity, AMD US Equity, TSLA US Equity, BMY US Equity, NKE US Equity","{'PLTR US Equity': 21, 'AMD US Equity': 1, 'TSLA US Equity': 1, 'BMY US Equity': 1, 'NKE US Equity': 3}",5,XLK US Equity_vs_SPY US Equity_beta_px_60d_z_120d is_high AND DXY Curncy_vs_SPY US Equity_corr_delta_fisher_20_60_z_60d z_breakout_neg,"SIG_02634, SIG_03001"
SETUP_0004,2,1,-4.316000,-1.365089,0.768957,55.000000,0.000000,0.546343,-0.315915,AMD US Equity,long,2018-11-19,2020-11-11,"AMD US Equity, MSTR US Equity, WMT US Equity, JPM US Equity, XLE US Equity","{'AMD US Equity': 1, 'MSTR US Equity': 1, 'WMT US Equity': 1, 'JPM US Equity': 1, 'XLE US Equity': 1}",5,AMZN US Equity_realized_vol_21d is_high AND QQQ US Equity_tw_pub_z_30d is_high,"SIG_00768, SIG_00546"
SETUP_0005,3,1,8.484517,14.383419,11.183967,29.000000,0.000000,1.473285,-0.130921,TSLA US Equity,long,2019-01-04,2020-11-11,"NKE US Equity, TSLA US Equity, AMZN US Equity, MSTR US Equity, AMD US Equity","{'NKE US Equity': 10, 'TSLA US Equity': 21, 'AMZN US Equity': 21, 'MSTR US Equity': 10, 'AMD US Equity': 10}",5,AMZN US Equity_realized_vol_21d is_high AND QQQ US Equity_tw_pub_z_30d is_high,"SIG_00768, SIG_00546"
SETUP_0006,3,1,-4.034709,2.441731,1.142978,33.000000,0.000000,0.433596,-0.100610,TSLA US Equity,long,2019-07-22,2021-12-27,"TSLA US Equity, AMD US Equity, NKE US Equity, MSTR US Equity, BMY US Equity","{'TSLA US Equity': 1, 'AMD US Equity': 1, 'NKE US Equity': 10, 'MSTR US Equity': 5, 'BMY US Equity': 1}",5,DXY Curncy_vs_SPY US Equity_corr_delta_fisher_20_60_z_60d z_breakout_neg AND XLK US Equity_vs_SPY US Equity_beta_px_60d_z_120d is_high,"SIG_03001, SIG_02634"
SETUP_0007,3,1,-4.819454,2.238990,1.207662,33.000000,0.000000,0.461686,-0.131145,TSLA US Equity,long,2019-07-22,2021-12-27,"TSLA US Equity, AMD US Equity, NKE US Equity, MSTR US Equity, BMY US Equity","{'TSLA US Equity': 1, 'AMD US Equity': 1, 'NKE US Equity': 3, 'MSTR US Equity': 5, 'BMY US Equity': 1}",5,DXY Curncy_vs_SPY US Equity_corr_delta_fisher_20_60_z_60d z_breakout_neg AND XLK US Equity_vs_SPY US Equity_beta_px_60d_z_120d is_high,"SIG_03001, SIG_02634"
SETUP_0008,4,1,2.992714,7.853258,3.508435,47.000000,0.000000,1.340399,-0.197188,TSLA US Equity,long,2020-03-11,2022-06-20,"TSLA US Equity, XLE US Equity, COIN US Equity, AMD US Equity, JPM US Equity","{'TSLA US Equity': 21, 'XLE US Equity': 10, 'COIN US Equity': 1, 'AMD US Equity': 3, 'JPM US Equity': 1}",5,AMZN US Equity_realized_vol_21d is_high AND QQQ US Equity_tw_pub_z_30d is_high,"SIG_00768, SIG_00546"
SETUP_0009,5,1,2.878218,6.668013,3.318346,59.000000,0.000000,1.168588,-0.167857,TSLA US Equity,long,2020-03-11,2022-08-15,"TSLA US Equity, COIN US Equity, XLE US Equity, AMD US Equity, JPM US Equity","{'TSLA US Equity': 21, 'COIN US Equity': 1, 'XLE US Equity': 10, 'AMD US Equity': 1, 'JPM US Equity': 1}",5,AMZN US Equity_realized_vol_21d is_high AND QQQ US Equity_tw_pub_z_30d is_high,"SIG_00768, SIG_00546"
