setup_id,fold,rank,sharpe_lb,sharpe_median,omega_ratio,support,annualized_return,volatility,max_drawdown,best_performing_ticker,entry_direction,first_trigger_date,last_trigger_date,chosen_tickers,chosen_horizons,num_selected_tickers,trades_count,sum_capital_allocated,sum_pnl_dollars,avg_pnl_per_trade_dollars,avg_pnl_per_trade_pct,portfolio_total_return_pct,portfolio_total_pnl_dollars_on_base,description,signal_ids
SETUP_0000,1,1,23.406189,28.860701,619.455124,10.000000,0.000000,0.364276,0.000000,TSLA US Equity,long,2018-10-29,2020-06-24,"TSLA US Equity, MSTR US Equity, AMZN US Equity, AAPL US Equity, XLRE US Equity","{'TSLA US Equity': 10, 'MSTR US Equity': 5, 'AMZN US Equity': 10, 'AAPL US Equity': 1, 'XLRE US Equity': 1}",5,48,480000.000000,17794.129821,370.711038,0.037071,0.441531,44153.138009,AMD US Equity_oi_callput_skew_z_60d z_breakout_pos AND XLE US Equity_px_trend_5_20_z_60d is_low,"SIG_01618, SIG_00025"
SETUP_0001,1,1,14.323178,26.036413,29.901480,19.000000,0.000000,0.742856,-0.037180,TSLA US Equity,long,2018-04-20,2020-12-29,"AMD US Equity, TSLA US Equity, AAPL US Equity, GOOGL US Equity, XLK US Equity","{'AMD US Equity': 21, 'TSLA US Equity': 21, 'AAPL US Equity': 5, 'GOOGL US Equity': 1, 'XLK US Equity': 1}",5,92,920000.000000,54757.422631,595.189376,0.059519,1.773915,177391.476424,USGG2YR Index_vs_SPY US Equity_corr_delta_fisher_20_60_z_60d is_high AND JPM US Equity_vs_SPY US Equity_corr_px_fisher20_z_60d is_low,"SIG_02986, SIG_02779"
SETUP_0003,1,1,8.311425,14.961306,8.969621,50.000000,0.000000,1.055279,-0.201271,TSLA US Equity,long,2019-09-16,2020-12-31,"TSLA US Equity, JPM US Equity, PLTR US Equity, AMD US Equity, AAPL US Equity","{'TSLA US Equity': 21, 'JPM US Equity': 1, 'PLTR US Equity': 1, 'AMD US Equity': 1, 'AAPL US Equity': 1}",5,150,1500000.000000,83134.019712,554.226798,0.055423,12.481790,1248178.990418,WMT US Equity_realized_vol_21d is_low AND RTY Index_px_zscore_90d is_high,"SIG_01846, SIG_02243"
SETUP_0002,1,1,6.316033,13.234629,11.257819,22.000000,0.000000,1.056101,-0.068559,AMD US Equity,long,2018-12-18,2020-03-25,"AMZN US Equity, AMD US Equity, LLY US Equity, MSFT US Equity, JPM US Equity","{'AMZN US Equity': 21, 'AMD US Equity': 21, 'LLY US Equity': 5, 'MSFT US Equity': 1, 'JPM US Equity': 1}",5,89,890000.000000,43356.018519,487.146275,0.048715,2.025486,202548.632694,NDX Index_vol90d_regime_z_120d is_high AND XLE US Equity_turnover_minus_volume_z_60d z_breakout_neg,"SIG_02239, SIG_00035"
SETUP_0004,1,1,-0.082267,3.686764,1.746280,68.000000,0.000000,0.229213,-0.084108,TSLA US Equity,long,2019-03-22,2020-12-31,"TSLA US Equity, MSFT US Equity, AMD US Equity, GOOGL US Equity, AAPL US Equity","{'TSLA US Equity': 3, 'MSFT US Equity': 1, 'AMD US Equity': 1, 'GOOGL US Equity': 1, 'AAPL US Equity': 1}",5,267,2670000.000000,8154.527869,30.541303,0.003054,0.225314,22531.364591,WMT US Equity_realized_vol_21d is_low AND NDX Index_px_zscore_90d is_high,"SIG_01846, SIG_02183"
SETUP_0005,2,1,17.925792,24.740652,3029.442437,12.000000,0.000000,0.890214,0.000000,TSLA US Equity,long,2018-10-29,2021-02-01,"TSLA US Equity, MSTR US Equity, AMZN US Equity, AAPL US Equity, XLRE US Equity","{'TSLA US Equity': 10, 'MSTR US Equity': 5, 'AMZN US Equity': 10, 'AAPL US Equity': 1, 'XLRE US Equity': 1}",5,52,520000.000000,24677.817184,474.573407,0.047457,0.980328,98032.775215,AMD US Equity_oi_callput_skew_z_60d z_breakout_pos AND XLE US Equity_px_trend_5_20_z_60d is_low,"SIG_01618, SIG_00025"
SETUP_0006,2,1,11.829056,20.712663,13.314259,22.000000,0.000000,1.318779,-0.063369,PLTR US Equity,long,2020-04-10,2020-11-26,"PLTR US Equity, C US Equity, MSTR US Equity, XLE US Equity, JPM US Equity","{'PLTR US Equity': 10, 'C US Equity': 5, 'MSTR US Equity': 3, 'XLE US Equity': 1, 'JPM US Equity': 5}",5,103,1030000.000000,90855.760861,882.094766,0.088209,4.418262,441826.232351,SPX Index_realized_vol_21d is_high AND JPM US Equity_turnover_minus_volume_z_60d is_high,"SIG_02127, SIG_01239"
SETUP_0007,2,1,11.024714,18.922301,13.865759,22.000000,0.000000,1.577443,-0.063369,PLTR US Equity,long,2020-04-10,2020-11-26,"PLTR US Equity, C US Equity, MSTR US Equity, XLE US Equity, JPM US Equity","{'PLTR US Equity': 21, 'C US Equity': 5, 'MSTR US Equity': 3, 'XLE US Equity': 1, 'JPM US Equity': 5}",5,103,1030000.000000,99724.870044,968.202622,0.096820,5.232730,523272.988449,SPX Index_realized_vol_21d is_high AND JPM US Equity_turnover_minus_volume_z_60d is_high,"SIG_02127, SIG_01239"
SETUP_0008,2,1,10.117431,19.091840,36.160916,38.000000,0.000000,5.420352,-0.320643,MSTR US Equity,long,2019-04-15,2021-01-22,"MSTR US Equity, AMZN US Equity, TSLA US Equity, LLY US Equity, NKE US Equity","{'MSTR US Equity': 21, 'AMZN US Equity': 3, 'TSLA US Equity': 1, 'LLY US Equity': 1, 'NKE US Equity': 1}",5,74,740000.000000,133532.866861,1804.498201,0.180450,85588.671778,8558867177.812363,BTC Index_realized_vol_21d z_breakout_pos AND JPM US Equity_turnover_minus_volume_z_60d is_high,"SIG_02109, SIG_01239"
SETUP_0009,2,1,7.148687,14.020725,8.866138,47.000000,0.000000,1.473164,-0.158566,PLTR US Equity,long,2018-07-06,2021-03-16,"PLTR US Equity, LLY US Equity, TSLA US Equity, MSTR US Equity, NKE US Equity","{'PLTR US Equity': 21, 'LLY US Equity': 3, 'TSLA US Equity': 10, 'MSTR US Equity': 3, 'NKE US Equity': 1}",5,128,1280000.000000,81784.632226,638.942439,0.063894,22.409820,2240981.957426,RTY Index_px_zscore_90d is_high AND JPM US Equity_vs_SPY US Equity_corr_px_fisher20_z_60d is_low,"SIG_02243, SIG_02779"
