setup_id,fold,trigger_date,exit_date,ticker,horizon_days,direction,option_type,strike,entry_underlying,exit_underlying,entry_iv,exit_iv,entry_option_price,exit_option_price,contracts,capital_allocated,pnl_dollars,pnl_pct
SETUP_0000,1,2018-10-29,2018-10-30,AAPL US Equity,1,long,call,53.060000,53.060000,53.325000,5.000000,5.000000,41.848446,41.890751,2,10000.000000,8.461051,0.000846
SETUP_0000,1,2018-10-29,2018-11-12,AMZN US Equity,10,long,call,76.944000,76.944000,81.843000,5.000000,5.000000,60.685768,61.882467,1,10000.000000,119.669923,0.011967
SETUP_0000,1,2018-10-29,2018-11-05,MSTR US Equity,5,long,call,12.171000,12.171000,12.664000,5.000000,5.000000,9.599273,9.804006,10,10000.000000,204.732425,0.020473
SETUP_0000,1,2018-10-29,2018-11-12,TSLA US Equity,10,long,call,22.323300,22.323300,22.085300,5.000000,5.000000,17.606397,16.499160,5,10000.000000,-553.618445,-0.055362
SETUP_0000,1,2018-10-29,2018-10-30,XLRE US Equity,1,long,call,32.000000,32.000000,32.530000,5.000000,5.000000,25.238414,25.594617,3,10000.000000,106.860769,0.010686
SETUP_0000,1,2019-05-31,2019-06-03,AAPL US Equity,1,long,call,43.767500,43.767500,43.325000,5.000000,5.000000,34.519447,33.964435,2,10000.000000,-111.002510,-0.011100
SETUP_0000,1,2019-05-31,2019-06-14,AMZN US Equity,10,long,call,88.754000,88.754000,93.484000,5.000000,5.000000,70.000320,70.570954,1,10000.000000,57.063416,0.005706
SETUP_0000,1,2019-05-31,2019-06-07,MSTR US Equity,5,long,call,13.291000,13.291000,13.714000,5.000000,5.000000,10.482618,10.603783,9,10000.000000,109.049133,0.010905
SETUP_0000,1,2019-05-31,2019-06-14,TSLA US Equity,10,long,call,12.344000,12.344000,14.328000,5.000000,5.000000,9.735718,10.986192,10,10000.000000,1250.473477,0.125047
SETUP_0000,1,2019-05-31,2019-06-03,XLRE US Equity,1,long,call,36.470000,36.470000,36.610000,5.000000,5.000000,28.763906,28.755355,3,10000.000000,-2.565035,-0.000257
SETUP_0000,1,2019-06-03,2019-06-04,AAPL US Equity,1,long,call,43.325000,43.325000,44.910000,5.000000,5.000000,34.170447,35.428594,2,10000.000000,251.629321,0.025163
SETUP_0000,1,2019-06-03,2019-06-17,AMZN US Equity,10,long,call,84.635000,84.635000,94.302000,5.000000,5.000000,66.751663,71.840241,1,10000.000000,508.857781,0.050886
SETUP_0000,1,2019-06-03,2019-06-10,MSTR US Equity,5,long,call,13.090000,13.090000,13.655000,5.000000,5.000000,10.324089,10.575164,9,10000.000000,225.967143,0.022597
SETUP_0000,1,2019-06-03,2019-06-17,TSLA US Equity,10,long,call,11.931300,11.931300,15.002000,5.000000,5.000000,9.410222,11.645646,10,10000.000000,2235.424733,0.223542
SETUP_0000,1,2019-06-03,2019-06-04,XLRE US Equity,1,long,call,36.610000,36.610000,36.410000,5.000000,5.000000,28.874324,28.561825,3,10000.000000,-93.749553,-0.009375
SETUP_0000,1,2019-06-04,2019-06-05,AAPL US Equity,1,long,call,44.910000,44.910000,45.635000,5.000000,5.000000,35.420537,35.903624,2,10000.000000,96.617294,0.009662
SETUP_0000,1,2019-06-04,2019-06-18,AMZN US Equity,10,long,call,86.478000,86.478000,95.069000,5.000000,5.000000,68.205238,72.268478,1,10000.000000,406.324031,0.040632
SETUP_0000,1,2019-06-04,2019-06-11,MSTR US Equity,5,long,call,13.382000,13.382000,13.414000,5.000000,5.000000,10.554389,10.327325,9,10000.000000,-204.358205,-0.020436
SETUP_0000,1,2019-06-04,2019-06-18,TSLA US Equity,10,long,call,12.906700,12.906700,14.982700,5.000000,5.000000,10.179520,11.488380,9,10000.000000,1177.973779,0.117797
SETUP_0000,1,2019-06-04,2019-06-05,XLRE US Equity,1,long,call,36.410000,36.410000,37.240000,5.000000,5.000000,28.716583,29.324769,3,10000.000000,182.455676,0.018246
SETUP_0000,1,2020-01-09,2020-01-10,AAPL US Equity,1,long,call,77.407500,77.407500,77.582500,5.000000,5.000000,61.051330,60.924134,1,10000.000000,-12.719633,-0.001272
SETUP_0000,1,2020-01-09,2020-01-23,AMZN US Equity,10,long,call,95.053000,95.053000,94.229000,5.000000,5.000000,74.968344,70.419126,1,10000.000000,-454.921816,-0.045492
SETUP_0000,1,2020-01-09,2020-01-16,MSTR US Equity,5,long,call,14.350000,14.350000,14.672000,5.000000,5.000000,11.317851,11.329194,8,10000.000000,9.074225,0.000907
SETUP_0000,1,2020-01-09,2020-01-23,TSLA US Equity,10,long,call,32.089300,32.089300,38.146700,5.000000,5.000000,25.308845,29.358732,3,10000.000000,1214.965821,0.121497
SETUP_0000,1,2020-01-09,2020-01-10,XLRE US Equity,1,long,call,38.270000,38.270000,38.640000,5.000000,5.000000,30.183566,30.373818,3,10000.000000,57.075607,0.005708
SETUP_0000,1,2020-01-10,2020-01-13,AAPL US Equity,1,long,call,77.582500,77.582500,79.240000,5.000000,5.000000,61.189353,62.385968,1,10000.000000,119.661490,0.011966
SETUP_0000,1,2020-01-10,2020-01-24,AMZN US Equity,10,long,call,94.158000,94.158000,93.082000,5.000000,5.000000,74.262457,69.529228,1,10000.000000,-473.322949,-0.047332
SETUP_0000,1,2020-01-10,2020-01-17,MSTR US Equity,5,long,call,14.239000,14.239000,14.674000,5.000000,5.000000,11.230306,11.343991,8,10000.000000,90.948182,0.009095
SETUP_0000,1,2020-01-10,2020-01-24,TSLA US Equity,10,long,call,31.876700,31.876700,37.654700,5.000000,5.000000,25.141168,28.951544,3,10000.000000,1143.112889,0.114311
SETUP_0000,1,2020-01-10,2020-01-13,XLRE US Equity,1,long,call,38.640000,38.640000,39.110000,5.000000,5.000000,30.475385,30.753614,3,10000.000000,83.468545,0.008347
SETUP_0000,1,2020-01-22,2020-01-23,AAPL US Equity,1,long,call,79.425000,79.425000,79.807500,5.000000,5.000000,62.642533,62.693202,1,10000.000000,5.066886,0.000507
SETUP_0000,1,2020-01-22,2020-02-05,AMZN US Equity,10,long,call,94.373000,94.373000,101.994000,5.000000,5.000000,74.432028,77.319242,1,10000.000000,288.721441,0.028872
SETUP_0000,1,2020-01-22,2020-01-29,MSTR US Equity,5,long,call,14.592000,14.592000,15.260000,5.000000,5.000000,11.508717,11.822507,8,10000.000000,251.031827,0.025103
SETUP_0000,1,2020-01-22,2020-02-05,TSLA US Equity,10,long,call,37.970700,37.970700,48.980000,5.000000,5.000000,29.947508,38.168353,3,10000.000000,2466.253326,0.246625
SETUP_0000,1,2020-01-22,2020-01-23,XLRE US Equity,1,long,call,39.670000,39.670000,40.050000,5.000000,5.000000,31.287747,31.481801,3,10000.000000,58.216176,0.005822
SETUP_0000,1,2020-01-23,2020-01-24,AAPL US Equity,1,long,call,79.807500,79.807500,79.577500,5.000000,5.000000,62.944211,62.446768,1,10000.000000,-49.744358,-0.004974
SETUP_0000,1,2020-01-23,2020-02-06,AMZN US Equity,10,long,call,94.229000,94.229000,102.512000,5.000000,5.000000,74.318455,77.794974,1,10000.000000,347.651863,0.034765
SETUP_0000,1,2020-01-23,2020-01-30,MSTR US Equity,5,long,call,14.574000,14.574000,15.270000,5.000000,5.000000,11.494520,11.833532,8,10000.000000,271.209558,0.027121
SETUP_0000,1,2020-01-23,2020-02-06,TSLA US Equity,10,long,call,38.146700,38.146700,49.930700,5.000000,5.000000,30.086320,38.993892,3,10000.000000,2672.271807,0.267227
SETUP_0000,1,2020-01-23,2020-01-24,XLRE US Equity,1,long,call,40.050000,40.050000,39.990000,5.000000,5.000000,31.587453,31.387275,3,10000.000000,-60.053303,-0.006005
SETUP_0000,1,2020-06-23,2020-06-24,AAPL US Equity,1,long,call,91.632500,91.632500,90.015000,5.000000,5.000000,72.270594,70.492536,1,10000.000000,-177.805867,-0.017781
SETUP_0000,1,2020-06-23,2020-06-30,MSTR US Equity,5,long,call,11.754000,11.754000,11.829000,5.000000,5.000000,9.270385,9.112452,10,10000.000000,-157.932994,-0.015793
SETUP_0000,1,2020-06-23,2020-07-07,TSLA US Equity,10,long,call,66.785300,66.785300,92.657300,5.000000,5.000000,52.673596,72.981094,1,10000.000000,2030.749793,0.203075
SETUP_0000,1,2020-06-23,2020-06-24,XLRE US Equity,1,long,call,34.850000,34.850000,33.960000,5.000000,5.000000,27.486211,26.565135,3,10000.000000,-276.322761,-0.027632
SETUP_0000,1,2020-06-24,2020-06-25,AAPL US Equity,1,long,call,90.015000,90.015000,91.210000,5.000000,5.000000,70.994871,71.732460,1,10000.000000,73.758834,0.007376
SETUP_0000,1,2020-06-24,2020-07-01,MSTR US Equity,5,long,call,11.438000,11.438000,11.780000,5.000000,5.000000,9.021156,9.105886,11,10000.000000,93.203171,0.009320
SETUP_0000,1,2020-06-24,2020-07-08,TSLA US Equity,10,long,call,64.056700,64.056700,91.058700,5.000000,5.000000,50.521548,71.972661,1,10000.000000,2145.111275,0.214511
SETUP_0000,1,2020-06-24,2020-06-25,XLRE US Equity,1,long,call,33.960000,33.960000,34.320000,5.000000,5.000000,26.784267,26.981383,3,10000.000000,59.134582,0.005913
SETUP_0001,1,2018-04-20,2018-04-27,AAPL US Equity,5,long,call,41.430000,41.430000,40.580000,5.000000,5.000000,32.675860,31.133838,3,10000.000000,-462.606592,-0.046261
SETUP_0001,1,2018-04-20,2018-05-21,AMD US Equity,21,long,call,9.990000,9.990000,12.990000,5.000000,5.000000,7.879118,9.503183,12,10000.000000,1948.878304,0.194888
SETUP_0001,1,2018-04-20,2018-04-23,GOOGL US Equity,1,long,call,53.866000,53.866000,53.691000,5.000000,5.000000,42.484139,42.130756,2,10000.000000,-70.676456,-0.007068
SETUP_0001,1,2018-04-20,2018-05-21,TSLA US Equity,21,long,call,19.349300,19.349300,18.966000,5.000000,5.000000,15.260802,13.076729,6,10000.000000,-1310.443584,-0.131044
SETUP_0001,1,2018-04-20,2018-04-23,XLK US Equity,1,long,call,66.210000,66.210000,65.970000,5.000000,5.000000,52.219857,51.763279,1,10000.000000,-45.657828,-0.004566
SETUP_0001,1,2018-04-27,2018-05-04,AAPL US Equity,5,long,call,40.580000,40.580000,45.957500,5.000000,5.000000,32.005464,36.016185,3,10000.000000,1203.216291,0.120322
SETUP_0001,1,2018-04-27,2018-05-28,AMD US Equity,21,long,call,11.110000,11.110000,13.540000,5.000000,5.000000,8.762462,9.778731,11,10000.000000,1117.895864,0.111790
SETUP_0001,1,2018-04-27,2018-04-30,GOOGL US Equity,1,long,call,51.573000,51.573000,50.929000,5.000000,5.000000,40.675648,39.912350,2,10000.000000,-152.659692,-0.015266
SETUP_0001,1,2018-04-27,2018-05-28,TSLA US Equity,21,long,call,19.605000,19.605000,18.590000,5.000000,5.000000,15.462472,12.721908,6,10000.000000,-1644.338716,-0.164434
SETUP_0001,1,2018-04-27,2018-04-30,XLK US Equity,1,long,call,65.890000,65.890000,65.460000,5.000000,5.000000,51.967473,51.342560,1,10000.000000,-62.491296,-0.006249
SETUP_0001,1,2018-04-30,2018-05-07,AAPL US Equity,5,long,call,41.315000,41.315000,46.290000,5.000000,5.000000,32.585159,36.221529,3,10000.000000,1090.910923,0.109091
SETUP_0001,1,2018-04-30,2018-05-29,AMD US Equity,21,long,call,10.880000,10.880000,13.360000,5.000000,5.000000,8.581061,9.663408,11,10000.000000,1190.581482,0.119058
SETUP_0001,1,2018-04-30,2018-05-01,GOOGL US Equity,1,long,call,50.929000,50.929000,52.038000,5.000000,5.000000,40.167725,40.971961,2,10000.000000,160.847045,0.016085
SETUP_0001,1,2018-04-30,2018-05-29,TSLA US Equity,21,long,call,19.593300,19.593300,18.917300,5.000000,5.000000,15.453245,12.998941,6,10000.000000,-1472.582381,-0.147258
SETUP_0001,1,2018-04-30,2018-05-01,XLK US Equity,1,long,call,65.460000,65.460000,66.280000,5.000000,5.000000,51.628332,52.120918,1,10000.000000,49.258651,0.004926
SETUP_0001,1,2018-05-01,2018-05-08,AAPL US Equity,5,long,call,42.275000,42.275000,46.512500,5.000000,5.000000,33.342312,36.301303,2,10000.000000,591.798360,0.059180
SETUP_0001,1,2018-05-01,2018-05-30,AMD US Equity,21,long,call,11.130000,11.130000,13.820000,5.000000,5.000000,8.778236,10.018497,11,10000.000000,1364.286510,0.136429
SETUP_0001,1,2018-05-01,2018-05-02,GOOGL US Equity,1,long,call,52.038000,52.038000,51.302000,5.000000,5.000000,41.042394,40.195371,2,10000.000000,-169.404709,-0.016940
SETUP_0001,1,2018-05-01,2018-05-30,TSLA US Equity,21,long,call,19.994700,19.994700,19.448000,5.000000,5.000000,15.769829,13.385863,6,10000.000000,-1430.379579,-0.143038
SETUP_0001,1,2018-05-01,2018-05-02,XLK US Equity,1,long,call,66.280000,66.280000,66.210000,5.000000,5.000000,52.275066,51.969930,1,10000.000000,-30.513595,-0.003051
SETUP_0001,1,2018-05-02,2018-05-09,AAPL US Equity,5,long,call,44.142500,44.142500,46.840000,5.000000,5.000000,34.815210,36.366046,2,10000.000000,310.167329,0.031017
SETUP_0001,1,2018-05-02,2018-05-31,AMD US Equity,21,long,call,10.970000,10.970000,13.730000,5.000000,5.000000,8.652044,9.969069,11,10000.000000,1448.727820,0.144873
SETUP_0001,1,2018-05-02,2018-05-03,GOOGL US Equity,1,long,call,51.302000,51.302000,51.315000,5.000000,5.000000,40.461911,40.285688,2,10000.000000,-35.244491,-0.003524
SETUP_0001,1,2018-05-02,2018-05-31,TSLA US Equity,21,long,call,20.076700,20.076700,18.982000,5.000000,5.000000,15.834502,12.981573,6,10000.000000,-1711.757602,-0.171176
